kills,dpm,damageshare,earned gpm,earnedgoldshare,minionkills,cspm,goldat15,csat15,killsat15
8,425.9879,0.178998,333.9447,0.251669,189,7.9703,4996,118,1
2,266.6622,0.1504,205.6102,0.247046,183,8.0512,5105,129,1
1,154.7826,0.0900597,209.6232,0.212625,245,8.1449,4972,131,0
4,327.4783,0.215147,333.5072,0.262212,283,9.7391,6156,159,0
2,347.9663,0.198935,283.9551,0.251554,338,10.3787,5383,130,1
8,416.9705,0.26469,375.3997,0.28108,331,10.0701,5852,129,2
10,596.4392,0.27413,374.5104,0.315998,310,9.911,6115,150,1
5,433.7092,0.236337,309.5846,0.265333,297,9.7329,4899,134,0
3,529.9852,0.290362,311.9055,0.262329,331,10.2511,5253,127,1
3,235.2142,0.157735,229.4535,0.235992,260,8.39,5266,130,1
1,391.2345,0.172054,338.1656,0.227465,326,11.0659,5533,134,0
0,101.0808,0.0908848,278.4036,0.263755,337,10.6495,5635,149,0
0,344.6114,0.177476,226.0415,0.228467,273,8.9845,5058,137,0
5,386.3627,0.190871,313.9275,0.245161,285,9.6062,5070,142,0
6,578.8181,0.216,320.9353,0.246061,245,7.9239,5509,135,0
4,369.9589,0.258299,262.1994,0.311888,268,9.3422,4341,109,0
3,203.8264,0.165687,296.9775,0.314465,298,10.1286,6061,144,1
4,269.2605,0.157756,331.6077,0.238557,304,10.418,4973,135,0
6,308.2215,0.277996,313.1392,0.28864,441,9.6646,5114,147,0
1,286.5,0.177113,323.2025,0.282204,573,11.8101,5373,151,0
1,310.9419,0.287944,258.7623,0.289187,300,10.2519,5382,153,0
4,403.2092,0.2036,322.8368,0.247785,265,9.5947,5446,127,0
8,426.7574,0.202716,352.9455,0.281846,230,9.245,5367,151,0
0,192.5866,0.140626,210.4084,0.236867,225,8.7252,4996,132,0
3,349.3828,0.165784,259.2093,0.267978,283,8.5342,4975,138,0
8,409.2093,0.171598,349.8168,0.252995,292,9.2575,5377,147,0
4,382.2259,0.21742,325.2492,0.265627,265,9.8007,5939,136,2
3,339.0698,0.184704,278.9701,0.254084,243,8.4718,5154,134,0
8,1052.9541,0.448393,389.9882,0.306862,360,9.8156,6069,137,1
6,347.5245,0.190434,329.3291,0.265345,372,9.2036,4965,130,0
6,564.2037,0.231975,277.5337,0.291623,229,7.0994,4525,111,0
7,463.7943,0.199551,375.5766,0.280923,286,9.316,7275,159,3
6,528.5313,0.26407,307.9693,0.311721,352,10.1149,5025,141,0
4,298.5696,0.146396,280.5619,0.259298,305,8.7101,4910,124,1
1,257.5525,0.108426,255.377,0.202891,285,8.356,5120,134,0
5,498.6403,0.204334,309.5674,0.277149,340,9.7899,5605,152,1
2,366.3052,0.15657,293.81,0.246004,279,9.0691,4780,119,0
3,566.9482,0.35322,266.5163,0.251112,272,8.5221,5188,136,0
5,447.6094,0.212827,216.229,0.219315,178,6.5993,5277,121,2
8,578.0471,0.195,336.4646,0.251035,211,7.9125,6320,135,3
1,369.5515,0.234917,262.7704,0.2534,327,9.2612,5418,126,1
2,469.8681,0.248313,294.5119,0.238706,356,10.1319,4729,121,0
0,108.1849,0.124684,202.774,0.22334,251,8.7329,5080,135,0
4,291.0959,0.237869,328.1164,0.271114,291,10.2397,5497,147,0
2,488.9655,0.268093,292.3034,0.278384,338,9.8759,6358,139,1
7,357.6552,0.165615,324.8,0.261137,298,8.8828,4950,122,1
0,159.8099,0.105453,202.739,0.252434,258,8.787,4870,135,0
3,661.5428,0.263397,370.4639,0.285531,314,11.5036,5306,149,0
14,848.6052,0.30669,451.4638,0.341257,334,10.9414,5787,147,1
1,348.6151,0.190872,192.8635,0.190976,231,7.5407,4856,118,1
5,335.8142,0.204801,314.1905,0.257427,300,9.2351,4739,108,1
1,402.7687,0.285409,301.802,0.310163,328,10.3332,5650,140,1
2,397.686,0.17116,272.1212,0.274226,304,9.9174,5373,132,1
12,451.6253,0.222857,353.4986,0.276115,250,7.0248,4984,110,0
4,432.9912,0.232062,377.5929,0.301999,259,10.1593,6882,135,0
0,288.708,0.177679,167.8584,0.189528,203,7.1858,4381,101,0
9,628.999,0.343731,374.6425,0.320725,312,9.8379,5063,121,1
6,542.9457,0.31999,379.7903,0.321364,376,11.6683,6698,150,2
4,348.8806,0.179194,322.5373,0.238402,258,10.2239,5107,137,0
0,248.7313,0.232313,248.209,0.272633,273,10.6716,5484,159,0
8,400.3723,0.201071,333.8111,0.275169,325,9.6324,5218,147,0
3,759.1438,0.324358,337.1894,0.334303,348,10.8329,5931,145,0
4,436.0435,0.28205,298.5652,0.2572,239,8.7717,5390,111,2
4,499.6957,0.357428,287.7065,0.327802,274,9.6522,6918,145,4
1,456.6176,0.273207,291.7059,0.266278,338,10.6471,5793,148,0
2,348.4706,0.173318,253.7647,0.210686,266,8.6471,4493,110,0
0,198.021,0.11883,241.7691,0.249688,316,10.075,4598,119,0
