kills,assists,dpm,damageshare,damagetakenperminute,earned gpm,cspm,goldat15,csat15,killsat15,assistsat15
5,3,463.7004,0.337206,232.4188,364.3321,11.3177,6155,159,0,1
4,2,482.4419,0.254868,485.4264,319.4574,9.3798,6096,147,2,0
2,6,459.0698,0.254038,422.3643,255.2713,8.2946,5529,131,1,3
0,1,431.3749,0.298446,378.1896,187.2758,7.5576,5656,159,0,0
1,3,649.9317,0.333912,158.8642,246.0461,8.7361,5507,150,0,1
5,11,611.5307,0.256962,334.7539,303.6008,7.7276,5329,129,1,3
0,4,499.7438,0.281861,374.12,182.5893,8.0108,5188,141,0,1
0,2,344.029,0.200172,218.7536,238.2899,10.2029,5400,159,0,0
6,4,433.0435,0.284501,226.2899,322.9855,10.4058,5358,158,0,0
1,2,546.9565,0.312699,446.5077,252.0056,9.7335,5256,147,0,0
3,5,410.0982,0.260328,285.4137,317.8401,10.2665,4892,132,0,1
2,8,520.0297,0.239011,616.4688,295.1929,8.7834,5882,153,0,0
1,5,456.5579,0.248787,521.6914,286.7953,9.7626,5391,154,0,0
1,6,337.5775,0.184948,268.8922,228.8922,8.39,5314,156,0,0
1,6,344.9926,0.231353,533.678,236.8095,9.483,5519,158,0,1
11,8,860.0793,0.378239,331.294,425.9197,10.8875,7939,150,6,1
2,1,178.8994,0.160854,330.1339,223.8176,8.5969,5458,132,2,0
2,2,454.4767,0.234058,349.8342,214.1658,8.2694,5414,136,1,1
10,6,759.5751,0.375246,608.9534,369.7306,9.544,5972,137,3,0
3,7,710.5961,0.265176,553.1346,297.6567,9.3422,5973,148,2,0
0,3,373.8438,0.261011,492.3022,179.3217,7.4306,4958,136,0,0
2,1,238.6174,0.193967,603.8907,194.5338,6.6881,4595,120,0,0
3,8,661.3505,0.387476,382.7653,338.8424,10.8039,5608,155,1,0
0,5,163.5759,0.147535,240.4557,223.9177,8.8861,5242,156,0,0
6,2,525.4937,0.324859,180.3797,297.4557,9.3418,6126,159,2,0
0,2,387.2399,0.358599,460.0876,206.1884,9.069,4876,141,0,0
1,4,414.184,0.209142,287.2837,268.7185,9.3647,5238,140,0,0
3,8,578.4282,0.274762,269.0718,297.1411,8.7252,5516,155,0,0
1,0,293.7995,0.214532,440.3094,244.901,9.6163,5890,153,1,0
3,5,282.9605,0.134266,1050.4918,206.5574,7.406,5700,140,2,0
7,10,842.6615,0.353362,373.3076,361.0415,9.8071,5450,150,1,0
3,5,545.4485,0.310265,345.4485,290.0664,9.9668,5324,150,0,1
2,5,400.6977,0.218275,425.3821,251.3621,9.2359,5163,150,0,0
5,5,386.7634,0.1647,394.9078,265.8219,8.9682,5874,168,1,0
10,7,808.9525,0.443285,346.4417,383.0679,10.2864,6372,161,2,1
1,6,625.971,0.257371,383.7244,226.64,8.7169,5364,153,0,1
1,12,474.7579,0.204269,413.5597,255.1573,8.657,5397,150,0,0
2,5,458.9272,0.229294,391.4943,256.2197,9.5019,5517,157,0,1
2,6,341.0983,0.167249,355.7599,237.1137,8.4036,4881,135,0,0
4,9,936.5389,0.39427,392.4598,292.8801,8.7021,5041,142,0,0
4,7,650.3585,0.266505,346.6502,246.2546,8.1335,4947,137,0,1
2,3,636.2476,0.271951,226.7562,283.7908,9.2994,5809,160,0,2
1,9,432.3512,0.269363,581.4587,301.5835,9.3282,5946,145,0,2
3,2,782.6936,0.37215,650.303,297.9125,9.4949,5924,146,1,2
11,11,1074.5455,0.36249,369.0909,365.7239,7.8788,6700,131,3,5
2,5,252.7704,0.160682,496.3852,244.248,8.8391,5830,141,2,3
2,9,363.8522,0.192286,213.2718,258.4433,8.2586,5992,157,0,3
0,0,218.0137,0.251263,267.8082,196.9521,8.9384,5130,143,0,0
1,5,220.5822,0.180248,315.0342,283.0822,8.9384,5439,134,0,0
4,1,464.6345,0.254753,611.8069,297.6828,9.7103,5889,143,1,1
0,6,685.3241,0.317345,343.1172,248.7724,8.3586,4897,133,0,0
0,2,423.0184,0.279135,377.6747,195.5618,8.7535,4972,139,0,0
3,9,593.4265,0.236276,321.4645,270.8552,8.5187,5564,154,1,2
3,13,875.2489,0.316319,402.5234,288.7038,8.8714,5290,150,0,1
4,7,530.7442,0.29059,451.9665,313.4253,9.1671,6660,153,2,0
2,10,296.2271,0.180658,214.8569,280.6288,9.1506,5550,160,0,0
0,0,282.4871,0.200176,277.8414,258.4702,10.7555,5634,163,0,0
3,6,798.2645,0.343565,492.9752,258.3747,7.4656,7117,136,2,5
1,12,438.3471,0.216304,341.3499,235.8953,7.7961,4981,121,1,0
0,9,371.292,0.198995,327.4336,249.6637,8.4602,5249,140,0,1
1,1,500.7788,0.308193,450.3009,243.9646,9.8407,6391,177,1,1
2,6,555.3289,0.303473,379.4757,264.7664,9.0944,5726,150,1,1
3,7,379.0753,0.223411,349.9333,273.8894,9.0372,5521,141,1,0
4,6,600.1119,0.308233,309.0299,303.097,9.5149,5974,152,1,3
0,1,352.0522,0.328814,348.0224,187.7239,8.4328,5154,151,0,0
2,10,265.6864,0.133431,768.9437,194.4625,5.584,4964,126,0,1
1,2,585.6491,0.25023,528.9158,191.8101,6.1703,6040,148,0,0
2,6,383.8696,0.248302,251.0217,298.337,8.7391,7210,162,2,1
0,1,327.3261,0.234133,294.2609,170.3804,7.663,5015,137,0,1
1,1,265.9706,0.159138,426.5294,202.4412,7.8529,5029,131,0,1
2,3,556,0.276536,300.8235,250.6471,8.9412,5453,150,1,0
1,2,288.7856,0.173297,290.1949,232.3238,9.4753,5572,144,1,0
1,6,306.9265,0.159945,286.4168,225.3073,8.2459,4884,136,0,1
0,1,261.0262,0.294256,340.0821,247.7886,9.9436,4908,138,0,0
1,2,289.3176,0.233045,262.5654,259.5793,9.1739,5569,148,1,0
2,4,419.0904,0.281471,217.5431,310.6012,11.0403,5498,148,1,0
0,0,332.7444,0.315312,414.7622,230.873,9.7229,4954,137,0,0
4,9,380.7278,0.206708,552.4684,280.6013,7.7532,5476,113,1,3
4,2,364.1139,0.267743,396.7405,324.7152,10.443,7188,148,4,1
7,12,483.867,0.202084,360.8548,411.1669,10.8684,6970,139,5,2
0,3,442.2659,0.233661,360.3664,192.0896,8.2632,5257,129,0,3
1,14,701.7053,0.250539,292.9684,248.0632,8.3158,5711,168,0,0
3,10,658.0211,0.286576,233.9579,256.3579,8.0632,5617,172,0,0
2,2,368.0303,0.332394,199.0303,258.3939,9.0606,5540,158,0,0
1,1,297.0303,0.29541,269.1818,217.2424,8.9697,5277,157,0,0
2,14,345.9819,0.207515,285.5029,273.9755,8.8132,5432,145,0,3
1,3,344.3853,0.241227,352.5279,249.7392,9.8031,5536,157,0,3
4,0,578.2763,0.337212,417.6112,291.9625,9.6674,5133,135,1,0
4,8,645.6393,0.280869,302.3888,326.6136,9.6112,6548,149,1,2
7,7,577.9736,0.237546,450.7195,401.6153,11.3656,5985,169,1,0
3,6,535.4185,0.263439,395.8884,301.4684,10.5727,5536,139,1,0
5,9,772.1042,0.239832,400.3237,335.848,9.6692,5643,153,1,1
0,3,407.1217,0.229719,595.8198,155.9747,7.3469,4784,132,0,0
1,2,417.3272,0.277004,307.2811,191.7665,8.0799,4276,115,0,0
4,7,429.4931,0.26519,269.8003,280.2458,8.2028,6195,144,2,4
