kills,assists,damagetakenperminute,damagemitigatedperminute,goldat15,csat15,killsat15,assistsat15
3,12,683.657,1413.6816,4804,129,0,1
3,6,1087.5111,993.445,4942,128,0,1
2,8,885.1619,817.1938,5331,140,0,2
1,0,774.2281,996.2084,5048,125,1,0
4,2,565.3444,358.4022,4250,96,0,2
3,13,1236.6391,1182.0386,4962,105,1,2
1,8,644,835.9292,4679,123,0,1
0,1,847.823,735.0442,5563,150,0,1
1,6,704.9857,1134.3947,6065,134,1,0
3,3,888.7607,862.4214,4919,122,1,0
3,8,715.4478,747.3881,5785,134,1,3
0,1,752.2761,523.8806,4810,133,0,0
4,12,1038.4272,1262.4849,5381,131,0,2
2,3,563.7599,341.9079,4884,136,0,0
2,8,760.4348,773.8043,5310,126,0,4
0,2,670.9565,604.2717,5189,139,0,2
1,4,921.1765,1069.5,5816,140,1,1
1,8,694.4118,1502.0294,5134,132,0,2
0,1,817.5112,634.3328,5016,124,0,0
2,6,938.8306,995.5022,5849,134,0,3
2,0,667.45,727.1113,5223,130,1,0
2,3,484.0944,1240.2052,5022,124,0,1
1,5,796.4036,658.2122,6593,156,1,1
0,1,641.8087,1254.9503,4951,124,0,1
2,9,474.019,464.3354,6208,147,1,2
1,3,690.7911,554.8418,4581,86,1,2
4,12,765.7938,898.9009,5009,120,0,5
1,0,977.0963,626.7843,5130,133,1,0
2,14,932.4211,2269.7474,4614,125,0,0
1,5,1371.3895,2187.5579,5689,158,0,0
2,5,701.9697,702.7576,5293,152,0,0
0,0,466.8182,930.6364,4595,120,0,0
2,11,603.736,1652.5067,5078,128,1,1
1,3,404.066,491.4316,4846,125,1,1
1,6,930.267,987.822,4746,115,1,1
4,6,565.096,581.6206,5004,106,1,3
2,7,791.8062,1499.8532,4907,124,0,2
0,7,1052.5991,1213.8913,5747,153,0,0
5,6,625.2498,478.6911,5874,140,0,1
1,2,1179.3103,1096.0873,4395,118,0,0
2,1,733.1183,623.4716,4386,93,1,0
5,6,588.2642,592.9954,5917,132,3,1
1,9,422.3281,415.9973,6290,139,0,2
0,1,937.4541,1046.7937,4553,120,0,0
0,0,859.0464,772.5931,4566,120,0,0
2,9,1141.646,1051.1561,6512,150,1,3
3,11,836.6772,542.1882,4542,113,0,0
0,3,822.2242,666.4836,6209,143,0,1
3,4,714.6524,620.7487,4628,121,0,1
3,3,757.5045,613.4046,4834,118,1,0
5,9,842.4913,1028.3353,5648,120,2,3
4,4,707.9627,999.5111,5301,119,1,2
1,2,564.5332,337.7953,4937,117,0,1
3,4,665.5681,891.3611,6860,150,1,1
3,7,828.8393,699.0476,6372,124,2,1
1,4,581.875,385.119,4201,99,0,1
1,10,470.7081,652.8497,5139,120,0,2
2,1,729.6718,911.3644,5358,135,1,0
1,8,842.9344,591.3003,5013,111,1,1
2,13,825.5006,1834.4534,5735,117,1,2
4,8,1135.9753,1002.3966,5123,130,0,1
3,8,625.3598,481.016,5449,118,1,4
0,8,766.297,1454.2148,4432,110,0,2
7,7,923.2183,966.677,4882,133,0,1
2,3,473.454,288.356,4891,122,1,0
4,8,667.3605,471.1916,5170,109,1,2
3,8,765.2998,776.6187,4675,123,0,0
8,6,861.8705,955.4916,5566,120,2,0
1,1,608.329,454.2108,5566,140,0,0
3,6,600.0308,644.9769,5074,136,0,0
3,7,853.5655,1087.8274,5066,123,0,1
3,3,1410.9356,1577.2141,6544,147,1,0
6,14,1116.0437,1286.1392,6163,114,2,1
3,8,991.3233,1733.5061,4847,115,0,1
0,5,892.9258,886.4738,4983,126,0,1
6,7,1139.214,738.4061,5662,141,0,2
1,0,543.1541,485.3293,5492,119,1,0
4,5,898.1148,834.9245,6109,139,2,4
7,1,649.2515,510.0736,5303,141,0,0
3,3,407.0798,341.4479,5507,114,2,1
2,8,459.9197,382.8199,6274,139,1,0
3,1,588.8911,578.5349,4584,120,0,0
6,8,932.1703,720.0924,5598,110,2,1
0,10,818.1119,957.999,5155,112,0,2
3,8,382.5125,332.2513,5914,154,1,0
0,1,791.7065,550.6392,4052,90,0,0
5,4,540.3304,377.4851,6301,148,0,0
0,1,474.9335,346.5902,5256,148,0,0
0,7,583.3858,480.5464,5074,138,0,0
0,3,554.4785,342.1192,4996,139,0,0
1,4,538.2119,342.5166,4685,107,1,1
2,7,787.2185,564.106,5335,109,2,3
3,7,882.3573,929.5764,6852,142,1,1
4,1,1006.2247,1075.7643,5105,121,2,0
3,9,1091.2294,1313.4601,5519,148,0,0
1,8,784.1318,2599.2142,5336,121,1,2
0,9,840.6,1892.6333,4301,110,0,0
1,1,795.4667,734.7,5516,141,1,0
3,6,1424.8415,1368.1268,6116,138,1,1
3,15,1231.6715,2659.0202,5888,123,3,0
1,6,815.2912,630.4033,5077,105,1,1
2,2,939.055,1600.6925,4432,105,0,0
0,9,587.3044,988.7231,4774,114,0,3
1,4,1198.8812,1232.274,5899,135,0,2
1,4,969.5843,939.7384,4617,127,0,0
1,4,670.5371,781.6534,6469,158,0,0
3,2,912.375,818.4643,4407,106,0,1
4,6,677.4911,848.5982,5283,118,1,1
0,9,1004.5536,1460.4291,4991,112,0,3
1,2,1139.9585,958.173,4965,117,1,2
2,1,716.3933,778.9096,4923,132,0,0
1,5,849.3383,1038.5368,5136,149,0,0
4,7,993.0056,971.9382,5551,137,1,2
5,5,1028.2584,1412.1067,5946,130,2,1
3,7,818.221,2354.3528,4687,127,0,0
8,9,987.3656,1370.9387,6510,153,1,0
1,8,771.2012,932.4805,4860,122,0,5
1,9,903.6817,813.1981,5076,124,1,0
2,8,652.2519,581.7503,6700,140,1,1
0,0,464.5678,390.9925,4449,112,0,0
0,9,498.9848,893.3333,4636,128,0,0
2,2,571.3706,903.8579,7476,153,2,0
2,5,716.5342,1246.1367,5098,141,0,0
0,3,536.5342,1035.1033,4692,127,0,0
4,6,743.9036,1082.6683,5547,120,3,1
0,4,1278.7894,919.79,4925,127,0,2
1,1,584.5541,450.7908,4980,127,0,1
4,5,608.5474,517.8575,5612,124,1,4
4,7,1293.5813,1315.6142,5319,133,1,1
2,10,939.2647,1290.519,4690,117,0,3
1,7,384.8488,1095.4364,4145,101,0,0
4,2,444.6435,361.3006,6104,136,2,0
3,1,641.6298,481.4319,5702,140,1,0
3,6,455.2736,1030.3027,4546,112,0,1
2,2,1139.1451,2119.0607,5116,119,2,0
3,5,807.1346,670.4802,5020,126,1,0
4,3,682.1344,463.7154,5370,104,1,1
4,6,437.1146,255.6522,5378,107,2,1
0,2,594.1765,664.6176,4088,90,0,1
3,9,404.2059,367.0882,7541,143,2,4
3,4,651.9155,431.9155,5737,125,1,2
3,2,731.5211,668.7887,5120,121,0,0
3,14,752.9449,794.4374,4752,93,1,3
7,2,783.8069,871.0056,6209,131,4,0
0,3,501.8151,1114.7012,4762,133,0,0
1,7,641.8038,676.5051,5331,143,1,0
1,8,476.4407,423.5593,4715,106,1,2
3,1,844.8501,662.7771,5164,129,1,0
2,0,649.3037,465.8463,4959,113,1,0
4,2,455.3301,326.0024,6588,146,1,0
1,12,843.6875,868.6957,4526,108,0,1
2,19,963.4129,2077.7378,5253,137,0,1
0,2,525.429,304.8986,4615,126,0,0
2,9,812.4181,829.0484,6700,130,1,2
2,8,511.6975,474.6605,4878,126,0,1
0,3,722.7469,651.2346,4943,139,0,0
0,4,889.6076,1445.2774,4573,123,0,1
0,7,490.6901,626.1976,5305,136,0,5
3,14,656.1117,1413.667,5048,116,0,3
3,1,617.1654,273.4457,4682,115,1,0
0,2,744.9946,672.2535,4655,122,0,0
2,7,624.2145,1306.0238,4538,120,0,0
4,4,1119.5394,1578.2019,5424,120,2,0
3,6,1058.9814,1029.7254,5143,124,1,1
3,7,719.4563,517.2601,5700,131,2,2
2,2,937.2281,1689.467,5110,113,2,1
1,11,754.5589,1929.4781,4689,119,0,1
3,2,917.9861,1045.164,5017,137,0,0
2,3,891.6874,622.5222,4607,112,0,1
0,13,950.8703,1078.0817,4290,101,0,2
1,4,562.0714,583.0714,5050,136,0,0
0,0,657.6122,311.5714,4884,141,0,0
3,6,622.0884,443.4141,5992,143,0,2
3,10,697.0349,882.1454,5279,145,0,0
4,10,1102.7359,1151.0677,5816,134,0,1
4,4,868.0553,2045.4909,4919,129,0,0
2,5,1033.1376,1695.8807,4596,100,1,1
2,8,1065.8807,1261.0395,7318,136,1,2
2,4,814.0396,1079.198,5061,117,1,1
2,5,633.8317,538.7822,5056,123,0,1
4,5,809.4997,721.0747,6431,122,2,0
1,1,736.4917,1084.1507,4423,96,1,0
2,5,616.8155,674.7722,5482,120,1,3
1,9,307.4551,188.9462,4259,99,0,1
2,6,958.6082,2341.3616,5553,127,2,3
2,1,846.1422,630.7716,4385,116,0,0
1,0,733.0687,575.7618,5719,137,1,0
1,3,408.1223,278.1116,4608,122,0,0
8,4,778.8218,597.6149,4916,124,1,0
0,7,947.931,898.0747,4389,110,0,1
0,1,659.5909,407.3523,4347,104,0,0
3,8,441.75,273.3068,6633,148,1,2
5,9,709.1142,780.4482,6535,108,3,2
