gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Thresh,1939,1,1,1,7,8,5,0,0,0,0,1,0,1,0,0.2476,0.4023,0,0,4076,126.1269,0.0689678,343.3213,251.9443,59,1.8257,8,0.2476,19,84,2.5993,7489,3258,100.8149,0.0909371,6775,33,33,0,1.0211,2416,2396,18,2044,2135,15,372,261,3,0,1,0,0,0,1,3516,3361,27,3125,3247,25,391,114,2,0,2,0,0,0,
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,10,Red,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Leona,1939,0,0,4,2,5,8,0,0,0,0,0,0,0,1,0.1547,0.4023,0,0,1663,51.4595,0.0411746,423.2491,472.3259,52,1.6091,16,0.4951,20,95,2.9397,6255,2024,62.6302,0.0725048,6150,40,40,0,1.2378,2044,2135,15,2416,2396,18,-372,-261,-3,0,0,1,0,1,0,3125,3247,25,3516,3361,27,-391,-114,-2,0,0,1,0,2,
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,5,Blue,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Alistar,1585,1,1,1,18,28,6,0,0,0,0,0,0,0,0,1.0599,1.2871,0,0,6417,242.9148,0.0844709,492.3407,748.5047,36,1.3628,8,0.3028,13,63,2.3849,7682,4173,157.9685,0.112162,6725,30,30,0,1.1356,2223,2410,16,2148,2499,18,75,-89,-2,0,1,0,0,0,2,4210,4027,28,3383,3832,23,827,195,5,1,5,1,0,3,
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,10,Red,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Rell,1585,0,0,9,5,6,28,0,0,0,0,0,0,0,1,0.2271,1.2871,0,0,7470,282.776,0.148341,604.0883,715.4574,47,1.7792,4,0.1514,15,59,2.2334,5414,1905,72.1136,0.0788526,5225,31,31,0,1.1735,2148,2499,18,2223,2410,16,-75,89,2,0,0,2,0,1,0,3383,3832,23,4210,4027,28,-827,-195,-5,0,3,5,1,5,
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Alistar,1838,1,0,3,10,10,8,0,0,0,0,0,0,0,0,0.3264,0.555,0,0,3505,114.4178,0.0739639,421.1752,470.272,59,1.926,7,0.2285,19,82,2.6768,6996,2971,96.9859,0.087473,6225,29,29,0,0.9467,2081,2092,14,1968,2361,12,113,-269,2,0,0,0,0,0,0,3208,3439,25,3380,3696,25,-172,-257,0,0,0,1,0,2,
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,10,Red,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Galio,1838,0,0,3,5,7,10,0,0,0,0,0,0,0,0,0.2285,0.555,0,0,4724,154.2111,0.0767057,450.555,571.8934,52,1.6975,9,0.2938,18,82,2.6768,6567,2542,82.9815,0.0826106,6400,41,41,0,1.3384,1968,2361,12,2081,2092,14,-113,269,-2,0,0,0,0,0,0,3380,3696,25,3208,3439,25,172,257,0,0,2,0,0,0,
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,5,Blue,sup,Pleata,oe:player:7fdedd3126915607d5c8f42f8239253,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Alistar,2162,1,0,3,11,13,8,0,0,0,0,0,0,0,0,0.3608,0.5828,0,0,3015,83.6725,0.048507,400.7401,348.3996,71,1.9704,17,0.4718,18,110,3.0527,8237,3551,98.5476,0.0772786,7350,39,39,0,1.0823,2148,2731,15,2265,2878,19,-117,-147,-4,0,0,0,0,0,0,3154,3575,25,3267,3374,26,-113,201,-1,0,0,0,0,0,
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,10,Red,sup,Lehends,oe:player:e4e24b8656e4e6a74b939af730b0148,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Gragas,2162,0,1,3,1,8,13,0,0,0,0,0,0,0,0,0.222,0.5828,0,0,6398,177.5578,0.131749,356.1425,206.5032,69,1.9149,21,0.5828,27,120,3.3302,7714,3028,84.0333,0.0781972,7300,59,55,4,1.6374,2265,2878,19,2148,2731,15,117,147,4,0,0,0,0,0,0,3267,3374,26,3154,3575,25,113,-201,1,0,0,0,0,0,
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,5,Blue,sup,Lehends,oe:player:e4e24b8656e4e6a74b939af730b0148,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Seraphine,1797,1,0,0,18,19,2,0,0,0,0,1,0,1,0,0.6344,0.7012,0,0,11856,395.8598,0.200379,210.7179,161.2688,45,1.5025,15,0.5008,12,89,2.9716,8545,4604,153.7229,0.120063,8250,46,45,1,1.5359,2450,2820,9,2312,2594,23,138,226,-14,0,0,0,0,0,0,4113,4185,15,3246,3464,30,867,721,-15,0,4,0,0,0,
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,10,Red,sup,Pleata,oe:player:7fdedd3126915607d5c8f42f8239253,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Braum,1797,0,0,5,2,2,19,0,0,0,0,0,0,0,1,0.0668,0.7012,0,0,5271,175.9933,0.0945437,539.4324,481.0017,68,2.2705,17,0.5676,11,103,3.4391,5999,2058,68.7145,0.0855425,5875,48,48,0,1.6027,2312,2594,23,2450,2820,9,-138,-226,14,0,0,0,0,0,0,3246,3464,30,4113,4185,15,-867,-721,15,0,0,2,0,4,
