wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,assistsat15,assists
77,1.8125,29,0.6826,23,139,3.2719,3,14
49,1.4678,15,0.4493,16,87,2.6061,0,5
50,1.4978,21,0.6291,18,100,2.9955,3,10
89,2.2733,4,0.1022,31,105,2.682,0,9
81,2.069,20,0.5109,27,140,3.576,1,10
81,2.0025,18,0.445,27,126,3.115,2,10
101,2.4969,11,0.2719,31,126,3.115,1,11
52,1.4971,6,0.1727,16,72,2.0729,0,1
53,1.5259,12,0.3455,18,84,2.4184,0,5
47,1.5825,12,0.404,20,83,2.7946,2,6
39,1.3131,11,0.3704,13,76,2.5589,6,21
71,1.8734,17,0.4485,23,112,2.9551,4,7
69,1.8206,20,0.5277,20,115,3.0343,2,11
47,1.6096,10,0.3425,12,72,2.4658,0,0
53,1.8151,17,0.5822,17,83,2.8425,0,5
67,1.8483,12,0.331,19,105,2.8966,3,8
64,1.7655,12,0.331,19,97,2.6759,1,7
51,1.7105,12,0.4025,16,86,2.8843,0,1
47,1.5763,14,0.4695,13,88,2.9514,2,13
56,1.656,15,0.4436,23,94,2.7797,1,16
61,1.8038,21,0.621,19,108,3.1937,3,11
53,1.4923,20,0.5631,16,108,3.0408,1,12
109,3.069,28,0.7884,25,150,4.2234,1,2
60,1.6529,5,0.1377,19,90,2.4793,4,7
53,1.4601,8,0.2204,17,95,2.6171,2,17
73,2.5841,18,0.6372,16,107,3.7876,2,9
44,1.5575,8,0.2832,18,65,2.3009,0,0
65,1.8589,12,0.3432,23,99,2.8313,4,9
80,2.2879,18,0.5148,22,108,3.0887,3,9
44,1.6418,11,0.4104,14,66,2.4627,3,10
44,1.6418,5,0.1866,16,57,2.1269,0,0
70,1.9544,11,0.3071,19,107,2.9874,1,15
66,1.8427,10,0.2792,23,96,2.6803,0,6
54,1.7609,11,0.3587,19,70,2.2826,3,7
54,1.7609,12,0.3913,15,88,2.8696,3,3
54,1.5882,18,0.5294,18,94,2.7647,1,2
88,2.5882,19,0.5588,18,129,3.7941,1,6
58,1.7391,19,0.5697,17,104,3.1184,2,4
55,1.6492,12,0.3598,17,91,2.7286,0,7
60,1.8471,13,0.4002,15,90,2.7707,0,0
63,1.9395,11,0.3386,22,89,2.7399,2,6
47,1.4741,7,0.2196,12,84,2.6346,1,8
60,1.8819,11,0.345,19,86,2.6973,0,0
69,2.1835,14,0.443,12,117,3.7025,2,13
56,1.7722,18,0.5696,26,73,2.3101,5,6
38,1.5468,5,0.2035,18,56,2.2795,6,17
41,1.6689,13,0.5292,18,68,2.768,2,2
117,2.4632,23,0.4842,22,181,3.8105,0,14
71,1.4947,22,0.4632,26,103,2.1684,0,7
54,1.6364,17,0.5152,18,87,2.6364,1,8
70,2.1212,12,0.3636,17,103,3.1212,0,2
49,1.5647,14,0.447,18,94,3.0016,3,13
48,1.5327,9,0.2874,16,76,2.4268,1,3
63,1.7705,14,0.3934,21,104,2.9227,1,2
60,1.6862,20,0.5621,20,112,3.1475,1,12
62,1.8209,18,0.5286,20,100,2.9369,2,9
58,1.7034,17,0.4993,21,76,2.232,1,8
30,1.2667,5,0.2111,11,54,2.2801,2,22
29,1.2245,6,0.2533,8,49,2.069,0,3
98,3.0108,17,0.5223,17,132,4.0553,0,4
49,1.5054,7,0.2151,17,67,2.0584,4,12
37,1.5112,7,0.2859,14,53,2.1647,3,12
35,1.4295,9,0.3676,14,56,2.2873,0,1
39,1.5284,12,0.4703,12,60,2.3514,0,0
40,1.5676,11,0.4311,15,61,2.3906,4,10
70,1.891,12,0.3242,24,101,2.7285,2,14
61,1.6479,25,0.6754,18,116,3.1337,1,5
41,1.4617,10,0.3565,12,78,2.7807,2,12
40,1.426,8,0.2852,15,50,1.7825,0,2
77,1.7928,15,0.3492,27,115,2.6775,4,5
90,2.0955,18,0.4191,29,140,3.2596,4,8
80,2.6997,18,0.6074,21,110,3.712,2,3
42,1.4173,14,0.4724,13,75,2.5309,1,8
58,1.7262,14,0.4167,18,83,2.4702,0,6
85,2.5298,21,0.625,24,122,3.631,1,8
46,1.5889,12,0.4145,16,78,2.6943,0,8
44,1.5199,16,0.5527,16,81,2.7979,2,5
40,1.3809,12,0.4143,18,70,2.4166,3,8
40,1.3809,13,0.4488,18,80,2.7618,2,15
106,2.071,20,0.3908,33,149,2.9111,4,24
104,2.0319,28,0.5471,36,166,3.2432,4,11
81,1.8845,22,0.5118,29,130,3.0244,4,9
75,1.7449,17,0.3955,23,98,2.28,2,15
62,1.8703,18,0.543,20,103,3.1071,0,4
63,1.9005,20,0.6033,21,88,2.6546,2,11
78,1.8705,19,0.4556,22,132,3.1655,1,14
91,2.1823,14,0.3357,32,124,2.9736,2,12
43,1.3265,14,0.4319,17,61,1.8817,0,1
72,2.2211,20,0.617,12,113,3.4859,0,12
57,1.7775,6,0.1871,18,82,2.5572,4,16
46,1.4345,4,0.1247,18,66,2.0582,1,6
62,1.6917,11,0.3001,20,85,2.3192,1,13
79,2.1555,14,0.382,25,103,2.8104,2,10
58,1.8996,10,0.3275,15,85,2.7838,2,6
48,1.5721,5,0.1638,18,72,2.3581,1,12
43,1.5589,21,0.7613,16,69,2.5015,1,2
36,1.3051,9,0.3263,11,67,2.429,3,4
32,1.1779,2,0.0736,12,45,1.6564,0,9
36,1.3252,8,0.2945,13,59,2.1718,4,6
67,2.0171,7,0.2107,23,94,2.8299,0,8
60,1.8063,18,0.5419,27,107,3.2213,0,5
60,1.8471,11,0.3386,21,90,2.7707,1,11
61,1.8779,10,0.3079,20,90,2.7707,0,3
54,1.801,21,0.7004,22,100,3.3352,0,9
52,1.7343,11,0.3669,22,72,2.4013,0,2
65,1.7898,10,0.2754,20,101,2.7811,0,8
66,1.8173,14,0.3855,19,105,2.8912,0,6
67,1.6639,12,0.298,21,112,2.7815,2,7
83,2.0613,12,0.298,24,101,2.5083,2,6
51,1.6887,11,0.3642,19,75,2.4834,0,1
51,1.6887,5,0.1656,15,67,2.2185,1,6
28,1.0313,3,0.1105,9,53,1.9521,0,8
48,1.768,7,0.2578,16,60,2.2099,0,4
78,1.9772,12,0.3042,24,109,2.763,2,16
70,1.7744,32,0.8112,20,107,2.7123,2,7
48,1.6,18,0.6,15,97,3.2333,0,12
49,1.6333,7,0.2333,18,75,2.5,1,2
57,1.6427,16,0.4611,19,103,2.9683,1,5
20,0.5764,7,0.2017,12,32,0.9222,1,8
72,1.7597,23,0.5621,20,130,3.1772,1,7
78,1.9063,12,0.2933,20,112,2.7373,0,4
82,1.9943,14,0.3405,26,114,2.7726,4,12
68,1.6538,16,0.3891,23,126,3.0645,3,6
57,1.5974,12,0.3363,19,94,2.6343,4,9
68,1.9057,7,0.1962,22,90,2.5222,6,10
63,1.6875,12,0.3214,20,121,3.2411,2,3
79,2.1161,16,0.4286,28,113,3.0268,1,11
39,1.6194,7,0.2907,13,60,2.4913,4,10
27,1.1211,5,0.2076,11,42,1.7439,1,2
68,1.9012,11,0.3075,23,99,2.7679,2,6
69,1.9292,19,0.5312,25,109,3.0475,3,11
62,1.7416,11,0.309,21,93,2.6124,1,7
87,2.4438,10,0.2809,20,107,3.0056,1,5
84,1.9076,30,0.6813,29,154,3.4974,1,13
91,2.0666,14,0.3179,29,120,2.7252,0,9
50,1.5601,4,0.1248,19,74,2.3089,3,8
45,1.4041,6,0.1872,11,51,1.5913,2,15
52,1.6649,9,0.2882,20,70,2.2412,0,9
50,1.6009,19,0.6083,13,77,2.4653,0,2
55,1.8613,24,0.8122,17,91,3.0795,4,10
58,1.9628,7,0.2369,19,74,2.5042,1,3
46,1.4626,9,0.2862,14,68,2.1622,1,6
58,1.8442,13,0.4134,17,84,2.6709,0,4
44,1.6306,8,0.2965,16,66,2.446,6,12
52,1.9271,16,0.593,17,81,3.0019,0,2
47,1.5816,15,0.5048,20,69,2.3219,2,3
57,1.9181,4,0.1346,21,70,2.3556,2,5
50,1.2976,15,0.3893,11,84,2.1799,2,8
71,1.8426,15,0.3893,19,110,2.8547,2,10
63,2.1563,12,0.4107,16,106,3.6281,1,8
46,1.5744,9,0.308,15,60,2.0536,2,6
41,1.4319,0,0,14,42,1.4668,1,8
6,0.2095,2,0.0698,6,18,0.6286,2,9
47,1.4881,10,0.3166,15,81,2.5646,5,7
19,0.6016,5,0.1583,11,32,1.0132,7,19
37,1.4625,7,0.2767,13,59,2.332,0,2
31,1.2253,7,0.2767,10,59,2.332,3,13
72,2.1176,3,0.0882,24,78,2.2941,1,2
58,1.7059,23,0.6765,19,111,3.2647,2,5
54,1.5211,16,0.4507,20,83,2.338,2,4
71,2,13,0.3662,24,102,2.8732,2,6
73,1.7478,10,0.2394,22,91,2.1788,1,15
85,2.0351,21,0.5028,27,136,3.2562,3,10
50,1.6911,12,0.4059,18,59,1.9955,0,4
51,1.7249,11,0.372,16,79,2.6719,4,11
44,1.721,9,0.352,11,68,2.6597,2,11
36,1.4081,8,0.3129,13,56,2.1904,1,1
41,1.4766,15,0.5402,14,84,3.0252,0,1
51,1.8367,14,0.5042,14,78,2.8091,0,5
101,1.981,17,0.3334,33,132,2.5891,0,9
78,1.5299,13,0.255,20,132,2.5891,0,21
56,1.7473,9,0.2808,22,85,2.6521,1,3
50,1.5601,12,0.3744,15,86,2.6833,2,9
50,1.5432,20,0.6173,16,90,2.7778,1,14
51,1.5741,14,0.4321,16,71,2.1914,0,1
120,3.2476,32,0.866,27,164,4.4384,1,2
67,1.8133,18,0.4871,21,96,2.5981,8,13
74,2.3393,19,0.6006,18,112,3.5406,1,17
55,1.7387,9,0.2845,17,69,2.1812,0,4
51,1.6576,12,0.39,16,87,2.8277,1,5
57,1.8527,13,0.4225,15,94,3.0553,0,7
72,1.9132,8,0.2126,23,103,2.7369,0,3
79,2.0992,15,0.3986,24,118,3.1355,1,10
43,1.3753,12,0.3838,15,80,2.5586,1,8
68,2.1748,6,0.1919,24,83,2.6546,0,4
62,1.7182,21,0.582,29,104,2.8822,1,10
66,1.8291,14,0.388,23,114,3.1594,2,9
39,1.3854,10,0.3552,12,83,2.9485,0,2
8,0.2842,5,0.1776,8,28,0.9947,3,17
56,1.7143,13,0.398,21,88,2.6939,3,9
69,2.1122,6,0.1837,24,83,2.5408,2,2
81,1.732,23,0.4918,24,139,2.9722,2,9
29,0.6201,10,0.2138,13,64,1.3685,0,12
64,1.8303,18,0.5148,21,104,2.9743,0,9
51,1.4585,12,0.3432,20,96,2.7455,2,9
62,1.7902,13,0.3754,21,93,2.6853,3,9
51,1.4726,10,0.2887,17,79,2.281,0,11
63,1.8713,17,0.505,18,102,3.0297,0,3
68,2.0198,6,0.1782,18,83,2.4653,0,6
33,1.223,3,0.1112,10,47,1.7418,1,16
36,1.3342,6,0.2224,15,64,2.3718,0,3
66,1.8224,14,0.3866,22,107,2.9544,2,4
72,1.988,14,0.3866,26,107,2.9544,2,11
59,1.7852,15,0.4539,20,91,2.7534,4,8
36,1.0893,9,0.2723,13,69,2.0877,0,5
46,1.4807,9,0.2897,20,72,2.3176,4,4
53,1.706,10,0.3219,17,83,2.6717,1,8
62,1.7816,11,0.3161,23,75,2.1552,1,15
54,1.5517,9,0.2586,23,77,2.2126,1,6
57,1.9432,15,0.5114,21,86,2.9318,2,6
44,1.5,12,0.4091,19,78,2.6591,1,8
54,1.7289,9,0.2882,15,88,2.8175,2,10
69,2.2092,5,0.1601,24,85,2.7215,0,0
71,2.0354,15,0.43,21,93,2.666,4,10
60,1.72,15,0.43,21,90,2.58,1,1
40,1.5287,14,0.535,12,67,2.5605,1,8
43,1.6433,3,0.1146,13,58,2.2166,0,2
62,1.9175,17,0.5258,16,104,3.2165,4,15
58,1.7938,20,0.6186,20,91,2.8144,0,2
66,1.9643,11,0.3274,18,94,2.7976,0,2
16,0.4762,9,0.2679,11,41,1.2202,0,9
62,1.9009,16,0.4905,20,95,2.9126,5,12
68,2.0848,11,0.3373,21,82,2.5141,0,0
51,1.7367,10,0.3405,12,80,2.7242,1,9
21,0.7151,8,0.2724,14,29,0.9875,0,1
49,1.5449,6,0.1892,15,73,2.3016,0,5
47,1.4819,16,0.5045,14,95,2.9953,2,12
66,1.7561,7,0.1863,21,94,2.5011,1,4
74,1.969,12,0.3193,22,109,2.9002,0,13
49,1.4649,9,0.2691,17,72,2.1525,0,6
55,1.6442,18,0.5381,19,85,2.5411,3,14
69,1.9167,6,0.1667,29,84,2.3333,2,6
54,1.5,15,0.4167,22,108,3,2,14
32,1.3214,12,0.4955,8,66,2.7254,2,8
39,1.6105,9,0.3716,11,58,2.395,1,3
81,2.1057,12,0.312,25,109,2.8336,2,8
73,1.8977,15,0.3899,22,101,2.6256,1,10
59,1.749,5,0.1482,19,84,2.4901,2,9
51,1.5119,16,0.4743,17,81,2.4012,0,4
40,1.4797,17,0.6289,16,73,2.7004,1,8
44,1.6276,8,0.2959,19,60,2.2195,2,2
49,1.4258,13,0.3783,20,90,2.6188,1,12
67,1.9496,16,0.4656,20,88,2.5606,0,1
17,0.4277,7,0.1761,16,40,1.0063,0,4
76,1.9119,15,0.3774,24,114,2.8679,1,1
47,1.4344,13,0.3967,16,80,2.4415,1,3
57,1.7396,15,0.4578,18,103,3.1434,2,9
68,1.7747,16,0.4176,21,95,2.4793,1,12
76,1.9835,8,0.2088,20,109,2.8447,1,12
105,3.0361,37,1.0699,17,184,5.3205,1,10
62,1.7928,23,0.6651,21,93,2.6892,1,3
68,1.731,13,0.3309,21,109,2.7747,0,7
83,2.1129,10,0.2546,28,101,2.5711,1,9
41,1.5452,8,0.3015,18,58,2.1859,0,1
47,1.7714,17,0.6407,16,87,3.2789,1,14
59,1.838,19,0.5919,22,106,3.3022,0,4
56,1.7445,8,0.2492,18,84,2.6168,3,7
35,1.4151,8,0.3235,13,61,2.4663,1,4
35,1.4151,11,0.4447,9,74,2.9919,3,11
67,1.998,13,0.3877,17,98,2.9225,0,8
74,2.2068,15,0.4473,24,102,3.0417,0,0
42,1.4702,13,0.4551,16,77,2.6954,3,9
48,1.6803,6,0.21,18,63,2.2054,0,0
48,1.6504,13,0.447,15,72,2.4756,2,4
61,2.0974,9,0.3095,23,75,2.5788,0,5
65,1.709,13,0.3418,18,106,2.787,0,10
71,1.8668,22,0.5784,20,132,3.4706,2,15
28,1.1185,15,0.5992,11,71,2.8362,5,11
43,1.7177,7,0.2796,16,54,2.1571,0,1
59,1.7093,21,0.6084,19,97,2.8102,0,13
53,1.5355,15,0.4346,16,97,2.8102,3,6
53,1.5303,19,0.5486,17,94,2.7141,3,15
65,1.8768,6,0.1732,23,87,2.512,0,6
50,1.6816,4,0.1345,17,70,2.3543,3,12
44,1.4798,7,0.2354,17,72,2.4215,2,5
41,1.4496,15,0.5303,13,65,2.2982,1,1
42,1.485,8,0.2829,17,72,2.5457,0,4
10,0.3976,4,0.159,8,22,0.8748,1,8
32,1.2724,9,0.3579,12,55,2.1869,0,3
14,0.448,4,0.128,7,25,0.8,0,5
56,1.792,8,0.256,17,85,2.72,0,11
41,1.5251,7,0.2604,16,68,2.5294,1,5
35,1.3019,9,0.3348,12,52,1.9343,2,11
26,0.5765,6,0.133,14,40,0.8869,2,10
113,2.5055,15,0.3326,35,128,2.8381,0,4
48,1.7266,15,0.5396,16,63,2.2662,1,2
42,1.5108,10,0.3597,13,75,2.6978,0,5
19,0.4424,10,0.2328,7,47,1.0943,0,13
97,2.2584,9,0.2095,29,116,2.7008,0,3
48,1.6134,12,0.4034,14,91,3.0588,1,9
42,1.4118,25,0.8403,16,87,2.9244,1,4
45,1.6236,12,0.433,18,74,2.6699,1,7
52,1.8761,16,0.5773,14,98,3.5358,6,13
54,1.3929,20,0.5159,17,107,2.7601,2,6
64,1.6509,10,0.258,22,100,2.5795,2,10
38,1.425,8,0.3,12,61,2.2875,0,0
43,1.6125,13,0.4875,14,72,2.7,1,4
7,0.312,1,0.0446,6,13,0.5795,3,9
26,1.159,7,0.312,8,52,2.318,0,1
60,1.9149,7,0.2234,19,70,2.234,3,11
47,1.5,14,0.4468,15,83,2.6489,0,2
51,1.5612,12,0.3673,18,94,2.8776,0,1
71,2.1735,11,0.3367,18,96,2.9388,0,9
33,1.313,7,0.2785,14,58,2.3077,0,0
9,0.3581,3,0.1194,8,16,0.6366,2,19
47,1.541,18,0.5902,14,90,2.9508,2,8
44,1.4426,8,0.2623,16,70,2.2951,2,5
70,1.7427,10,0.249,21,120,2.9876,0,12
91,2.2656,17,0.4232,31,115,2.8631,2,7
58,1.9037,14,0.4595,18,98,3.2166,0,9
55,1.8053,13,0.4267,19,93,3.0525,0,5
50,1.5182,7,0.2126,15,79,2.3988,0,4
47,1.4271,12,0.3644,17,81,2.4595,0,8
87,1.7053,11,0.2156,28,116,2.2738,1,17
113,2.215,14,0.2744,34,133,2.607,3,11
74,1.9768,8,0.2137,27,97,2.5913,0,2
72,1.9234,15,0.4007,18,112,2.992,1,9
55,1.7732,13,0.4191,16,92,2.9661,0,10
66,2.1279,8,0.2579,18,81,2.6115,3,8
56,1.6884,15,0.4523,13,102,3.0754,2,5
55,1.6583,9,0.2714,18,80,2.4121,0,0
66,1.9682,23,0.6859,20,118,3.5189,0,10
72,2.1471,16,0.4771,23,95,2.833,2,6
84,1.9913,18,0.4267,32,125,2.9633,0,10
77,1.8254,20,0.4741,26,124,2.9395,0,8
76,1.8088,23,0.5474,27,125,2.975,1,12
83,1.9754,19,0.4522,34,126,2.9988,4,5
46,1.6037,7,0.244,17,69,2.4056,2,9
59,2.0569,5,0.1743,23,67,2.3359,0,4
56,2.0144,9,0.3237,22,67,2.4101,1,2
47,1.6906,8,0.2878,14,68,2.446,2,10
54,1.7734,10,0.3284,13,91,2.9885,0,9
60,1.9704,13,0.4269,24,85,2.7915,1,1
61,1.9677,14,0.4516,21,101,3.2581,1,2
43,1.3871,19,0.6129,13,81,2.6129,0,8
8,0.2315,10,0.2894,7,34,0.9841,0,4
55,1.5919,15,0.4342,18,95,2.7496,1,6
67,1.7501,14,0.3657,20,101,2.6382,0,0
66,1.724,3,0.0784,24,80,2.0897,0,4
63,1.9596,17,0.5288,21,79,2.4572,0,4
10,0.311,8,0.2488,10,19,0.591,0,1
52,1.6482,14,0.4437,18,87,2.7575,0,3
53,1.6799,5,0.1585,18,63,1.9968,0,8
19,0.5429,6,0.1714,10,37,1.0571,0,4
67,1.9143,3,0.0857,24,85,2.4286,0,1
83,1.7037,13,0.2668,27,120,2.4632,0,12
78,1.6011,32,0.6569,20,135,2.7711,0,8
44,1.5612,7,0.2484,14,58,2.058,0,4
7,0.2484,5,0.1774,6,24,0.8516,0,8
54,1.4924,16,0.4422,16,111,3.0677,2,11
63,1.7411,27,0.7462,22,111,3.0677,1,4
67,2.0324,15,0.455,21,81,2.457,1,4
111,3.367,24,0.728,18,162,4.9141,1,11
44,1.5304,8,0.2783,20,70,2.4348,2,13
40,1.3913,6,0.2087,18,53,1.8435,3,5
36,1.5158,9,0.3789,16,54,2.2737,2,3
14,0.5895,2,0.0842,7,16,0.6737,6,13
40,1.5009,6,0.2251,11,64,2.4015,3,7
14,0.5253,3,0.1126,7,24,0.9006,0,1
73,1.9077,14,0.3659,17,122,3.1882,1,11
76,1.9861,9,0.2352,20,101,2.6394,1,4
63,1.8069,11,0.3155,22,87,2.4952,0,7
66,1.8929,10,0.2868,18,106,3.0402,1,10
74,1.9491,7,0.1844,25,91,2.3968,0,1
63,1.6594,6,0.158,18,84,2.2125,0,9
38,1.3043,5,0.1716,13,48,1.6476,1,3
38,1.3043,5,0.1716,13,61,2.0938,1,11
31,1.2229,3,0.1183,10,55,2.1696,1,8
25,0.9862,6,0.2367,8,38,1.499,0,2
17,0.5113,13,0.391,10,33,0.9925,0,1
59,1.7744,19,0.5714,16,100,3.0075,0,6
13,0.4019,9,0.2782,9,35,1.0819,1,8
63,1.9474,9,0.2782,17,77,2.3802,5,6
61,1.8693,12,0.3677,24,96,2.9418,0,0
58,1.7773,10,0.3064,19,79,2.4208,1,7
12,0.3477,18,0.5215,7,49,1.4196,0,5
66,1.9121,10,0.2897,29,82,2.3757,0,5
51,1.5557,13,0.3965,18,81,2.4708,0,8
53,1.6167,13,0.3965,21,83,2.5318,4,6
69,1.8557,28,0.753,20,139,3.7382,0,5
81,2.1784,14,0.3765,27,92,2.4742,5,9
36,1.4257,9,0.3564,10,69,2.7327,1,3
40,1.5842,10,0.396,16,66,2.6139,0,4
53,1.6249,4,0.1226,15,74,2.2688,3,15
56,1.7169,10,0.3066,21,90,2.7593,3,4
42,1.4524,9,0.3112,16,68,2.3516,2,2
38,1.3141,8,0.2767,11,69,2.3862,8,17
90,1.9934,28,0.6202,29,132,2.9236,1,9
66,1.4618,12,0.2658,24,96,2.1262,1,8
52,1.6578,16,0.5101,18,85,2.7099,1,9
50,1.594,13,0.4145,18,86,2.7418,3,16
41,1.4669,11,0.3936,13,60,2.1467,2,15
43,1.5385,23,0.8229,17,78,2.7907,1,4
64,2.1585,22,0.742,24,103,3.4739,0,2
23,0.7757,7,0.2361,13,34,1.1467,4,12
47,1.5178,11,0.3552,13,82,2.648,0,3
46,1.4855,11,0.3552,12,79,2.5511,0,8
65,1.6203,15,0.3739,19,128,3.1907,0,6
83,2.069,21,0.5235,24,123,3.0661,0,1
49,1.5449,14,0.4414,11,90,2.8376,0,3
48,1.5134,8,0.2522,12,86,2.7115,1,1
64,1.5907,20,0.4971,16,122,3.0323,2,11
71,1.7647,22,0.5468,20,148,3.6785,3,5
32,1.1368,13,0.4618,6,79,2.8064,2,12
