gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,2,Blue,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Nidalee,1939,1,2,0,4,8,5,0,0,0,0,0,0,0,0,0.2476,0.4023,1,0,12245,378.9067,0.207191,885.5493,554.2032,9,0.2785,24,0.7427,8,69,2.1351,11418,7187,222.393,0.200609,10200,227,28,199,7.0242,3412,4045,80,3949,4066,72,-537,-21,8,0,0,0,1,0,0,5574,6722,126,5099,5192,90,475,1530,36,1,0,0,1,0,1
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Olaf,1939,0,3,2,1,5,8,0,0,0,0,0,0,0,0,0.1547,0.4023,0,1,8546,264.4456,0.211592,973.8628,721.2378,14,0.4332,14,0.4332,12,44,1.3615,10110,5879,181.9185,0.210611,10300,172,25,147,5.3223,3949,4066,72,3412,4045,80,537,21,-8,1,0,0,0,0,0,5099,5192,90,5574,6722,126,-475,-1530,-36,1,0,1,1,0,0
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,2,Blue,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Graves,1585,1,7,1,14,28,6,1,0,0,0,1,0,1,0,1.0599,1.2871,1,0,19788,749.0726,0.260482,558.3218,415.571,8,0.3028,12,0.4543,8,46,1.7413,12216,8707,329.6025,0.234028,11150,180,45,135,6.8139,3925,3884,74,3025,3211,60,900,673,14,1,2,0,0,0,1,6295,5907,99,5221,5656,102,1074,251,-3,3,6,1,0,1,2
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,7,Red,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Olaf,1585,0,0,4,3,6,28,0,0,0,0,0,0,0,0,0.2271,1.2871,0,1,10101,382.3722,0.200588,1133.8297,864.53,6,0.2271,6,0.2271,6,32,1.2114,9115,5606,212.2145,0.232046,9000,179,37,142,6.776,3025,3211,60,3925,3884,74,-900,-673,-14,0,0,1,1,2,0,5221,5656,102,6295,5907,99,-1074,-251,3,0,1,2,3,6,1
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,2,Blue,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Olaf,1838,1,2,1,6,10,8,0,0,0,0,0,0,0,0,0.3264,0.555,0,0,9065,295.9195,0.191293,1058.5528,895.9195,5,0.1632,13,0.4244,4,42,1.3711,10388,6363,207.7149,0.187345,9450,175,23,152,5.7127,3063,3381,64,3038,3278,65,25,103,-1,0,0,0,0,0,0,4516,5490,98,5016,5612,102,-500,-122,-4,0,0,1,0,1,0
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Graves,1838,0,0,2,4,7,10,0,0,0,0,0,0,0,0,0.2285,0.555,0,0,10037,327.6496,0.162975,518.6181,328.6942,17,0.555,15,0.4897,13,46,1.5016,9196,5171,168.803,0.168053,8975,188,27,161,6.1371,3038,3278,65,3063,3381,64,-25,-103,1,0,0,0,0,0,0,5016,5612,102,4516,5490,98,500,122,4,0,1,0,0,0,1
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,2,Blue,jng,Pyosik,oe:player:a2357eb17578485c2ba736db36cbc42,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Graves,2162,1,7,0,2,13,8,2,1,0,0,0,0,0,0,0.3608,0.5828,0,0,13681,379.6762,0.220107,329.9167,751.3599,41,1.1378,24,0.666,10,112,3.1082,16023,11337,314.6253,0.246725,13350,301,69,232,8.3534,3442,3976,78,3527,3715,69,-85,261,9,0,0,0,1,0,0,5313,6681,129,5871,6034,111,-558,647,18,0,0,0,2,1,0
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,7,Red,jng,Dread,oe:player:5fac949d3a1a7631ddaef68ea4cbe1e,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Olaf,2162,0,4,3,1,8,13,0,0,0,0,1,1,0,0,0.222,0.5828,0,0,10043,278.7142,0.206808,978.6772,959.2784,19,0.5273,29,0.8048,14,69,1.9149,12327,7641,212.0537,0.19733,11450,236,84,152,6.5495,3527,3715,69,3442,3976,78,85,-261,-9,1,0,0,0,0,0,5871,6034,111,5313,6681,129,558,-647,-18,2,1,0,0,0,0
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,2,Blue,jng,Dread,oe:player:5fac949d3a1a7631ddaef68ea4cbe1e,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Olaf,1797,1,5,0,7,19,2,0,0,0,0,1,0,1,0,0.6344,0.7012,0,0,10098,337.1619,0.170667,1256.4608,1146.2771,8,0.2671,14,0.4674,7,49,1.6361,12453,8512,284.207,0.221986,11525,220,53,167,7.3456,3323,3965,79,3353,3818,73,-30,147,6,0,0,0,0,0,0,5632,6400,114,5056,6363,117,576,37,-3,1,2,0,0,0,1
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,7,Red,jng,Pyosik,oe:player:a2357eb17578485c2ba736db36cbc42,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Graves,1797,0,1,4,1,2,19,0,0,0,0,0,0,0,0,0.0668,0.7012,0,0,16292,543.9733,0.292223,669.182,510.7846,7,0.2337,8,0.2671,5,34,1.1352,9902,5961,199.0317,0.247812,9850,217,50,167,7.2454,3353,3818,73,3323,3965,79,30,-147,-6,0,0,0,0,0,0,5056,6363,117,5632,6400,114,-576,-37,3,0,0,1,1,2,0
