gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,3,Blue,mid,Bay,oe:player:0582fabc486c42d0db3bf52f56c6fc3,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Syndra,1939,1,0,1,3,8,5,0,0,0,0,0,0,0,0,0.2476,0.4023,0,0,11207,346.787,0.189628,247.7978,158.5869,20,0.6189,2,0.0619,10,27,0.8355,11804,7573,234.3373,0.211383,11150,303,295,8,9.376,3419,4813,97,3378,4232,90,41,581,7,0,0,0,0,0,0,5423,7819,160,5187,6762,141,236,1057,19,0,0,0,0,0,0
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,8,Red,mid,FATE,oe:player:24cd6812f523cf30c3502344539be6f,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Zoe,1939,0,1,0,3,5,8,0,0,0,0,0,0,0,0,0.1547,0.4023,0,0,13175,407.6844,0.326203,285.8587,162.7024,10,0.3094,3,0.0928,5,24,0.7427,10833,6602,204.2909,0.236513,10425,256,244,12,7.9216,3378,4232,90,3419,4813,97,-41,-581,-7,0,0,0,0,0,0,5187,6762,141,5423,7819,160,-236,-1057,-19,0,0,0,0,0,0
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,3,Blue,mid,FATE,oe:player:24cd6812f523cf30c3502344539be6f,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Zoe,1585,1,7,2,10,28,6,1,0,0,0,1,1,0,0,1.0599,1.2871,0,0,20138,762.3218,0.265089,294.6246,128.5174,11,0.4164,1,0.0379,4,25,0.9464,11592,8083,305.9811,0.217256,11100,209,193,16,7.9117,3898,3941,74,2675,4445,62,1223,-504,12,2,1,0,0,0,0,5982,6772,122,4701,7012,110,1281,-240,12,3,4,1,0,3,1
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,8,Red,mid,Bay,oe:player:0582fabc486c42d0db3bf52f56c6fc3,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Sylas,1585,0,1,5,4,6,28,0,0,0,0,0,0,0,0,0.2271,1.2871,0,0,7932,300.265,0.157515,674.9148,634.7129,12,0.4543,4,0.1514,5,26,0.9842,8834,5325,201.5773,0.220415,8210,196,194,2,7.4196,2675,4445,62,3898,3941,74,-1223,504,-12,0,0,0,2,1,0,4701,7012,110,5982,6772,122,-1281,240,-12,0,3,1,3,4,1
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,3,Blue,mid,Bay,oe:player:0582fabc486c42d0db3bf52f56c6fc3,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Syndra,1838,1,2,2,6,10,8,1,0,0,0,0,0,0,0,0.3264,0.555,0,0,12134,396.1045,0.256056,345.4407,147.3885,19,0.6202,2,0.0653,9,24,0.7835,11197,7172,234.124,0.211165,10375,253,239,14,8.259,3193,4644,90,3436,4728,98,-243,-84,-8,0,0,0,0,0,0,4707,7153,140,5714,7137,146,-1007,16,-6,0,0,0,0,2,0
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,8,Red,mid,FATE,oe:player:24cd6812f523cf30c3502344539be6f,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Zoe,1838,0,0,1,3,7,10,0,0,0,0,0,0,0,0,0.2285,0.555,0,0,11992,391.469,0.19472,354.1567,151.8607,8,0.2612,5,0.1632,6,25,0.8161,11142,7117,232.3286,0.231297,11500,274,250,24,8.9445,3436,4728,98,3193,4644,90,243,84,8,0,0,0,0,0,0,5714,7137,146,4707,7153,140,1007,-16,6,0,2,0,0,0,0
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,3,Blue,mid,Quad,oe:player:e9017664588010860a92ceb5f8fcb82,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Zoe,2162,1,2,1,9,13,8,0,0,0,0,0,0,0,0,0.3608,0.5828,0,0,18743,520.1573,0.301548,280.7678,154.6068,23,0.6383,6,0.1665,9,40,1.1101,14904,10218,283.5708,0.222372,13729,334,318,16,9.2692,3482,5005,99,3779,4525,88,-297,480,11,0,0,0,0,1,0,5127,7550,147,6161,7763,132,-1034,-213,15,0,0,1,0,4,0
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,8,Red,mid,Fly,oe:player:6c1fa8d6ae91f559b9d317477dad3ea,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Twisted Fate,2162,0,0,3,5,8,13,0,0,0,0,1,0,1,0,0.222,0.5828,0,0,10560,293.062,0.217454,429.0194,233.6725,17,0.4718,10,0.2775,11,41,1.1378,13812,9126,253.2655,0.23568,13425,288,272,16,7.9926,3779,4525,88,3482,5005,99,297,-480,-11,0,1,0,0,0,0,6161,7763,132,5127,7550,147,1034,213,-15,0,4,0,0,0,1
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,3,Blue,mid,Fly,oe:player:6c1fa8d6ae91f559b9d317477dad3ea,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Orianna,1797,1,6,1,10,19,2,1,0,0,0,1,0,1,0,0.6344,0.7012,0,0,13485,450.2504,0.22791,315.4257,222.8047,16,0.5342,11,0.3673,8,44,1.4691,12677,8736,291.6861,0.227828,11500,268,241,27,8.9482,3470,5069,97,3419,4815,97,51,254,0,0,0,0,0,0,0,5711,7677,146,4914,7054,137,797,623,9,2,2,0,0,0,1
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,8,Red,mid,Quad,oe:player:e9017664588010860a92ceb5f8fcb82,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Zoe,1797,0,0,5,1,2,19,0,0,0,0,0,0,0,0,0.0668,0.7012,0,0,14081,470.1503,0.252565,450.8848,199.1319,19,0.6344,4,0.1336,9,19,0.6344,9422,5481,183.005,0.227856,9635,248,248,0,8.2805,3419,4815,97,3470,5069,97,-51,-254,0,0,0,0,0,0,0,4914,7054,137,5711,7677,146,-797,-623,-9,0,0,1,2,2,0
