gameid,league,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,1,Blue,top,Canna,oe:player:7577c239c73fa5f3011cd7b5503e75e,Dplus KIA,oe:team:2a247555001e6364757f171f158f997,Gnar,2171,1,1,1,6,17,4,0,0,0,0,0,0,0,0,0.4698,0.5804,24846,686.6697,0.270718,743.3533,748.1621,12,0.3316,4,0.1105,7,39,1.0778,12597,7893,218.1391,0.182919,12475,271,255,16,7.4896,3146,5084,80,3198,4689,82,-52,395,-2,0,0,0,0,0,0,5157,7711,130,4854,7413,129,303,298,1,0,0,0,0,0,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,2,Blue,jng,Canyon,oe:player:92544d7a994bd6841cccd9f6e42e3de,Dplus KIA,oe:team:2a247555001e6364757f171f158f997,Lee Sin,2171,1,5,1,6,17,4,0,0,0,0,0,0,0,0,0.4698,0.5804,10588,292.6209,0.115365,736.2506,1375.1635,22,0.608,16,0.4422,11,64,1.7688,12390,7686,212.4182,0.178122,10725,186,38,148,5.1405,3071,3214,52,3094,3517,64,-23,-303,-12,1,0,0,0,0,0,4732,5680,88,4591,5222,93,141,458,-5,1,1,0,0,0,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,3,Blue,mid,ShowMaker,oe:player:5f8ff49cd56eae61d635966b183a451,Dplus KIA,oe:team:2a247555001e6364757f171f158f997,Syndra,2171,1,3,0,8,17,4,0,0,0,0,0,0,0,0,0.4698,0.5804,26406,729.7835,0.287716,514.4081,324.1271,21,0.5804,9,0.2487,7,62,1.7135,15060,10356,286.2091,0.240002,12875,324,301,23,8.9544,3373,4869,88,3167,4995,87,206,-126,1,0,1,0,0,0,1,5217,7774,141,5271,8023,150,-54,-249,-9,0,1,0,0,0,1
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Dplus KIA,oe:team:2a247555001e6364757f171f158f997,Sivir,2171,1,7,2,4,17,4,1,0,0,0,1,0,1,0,0.4698,0.5804,22710,627.637,0.247445,574.9332,371.9945,18,0.4975,11,0.304,7,50,1.3819,17519,12815,354.1686,0.296992,15325,372,348,24,10.281,3438,3221,89,3443,3651,98,-5,-430,-9,0,1,0,0,0,0,5476,5811,139,5254,6009,142,222,-198,-3,1,1,0,0,0,1
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,5,Blue,sup,Kellin,oe:player:b0ec3df39d61f953e7af0afd8eb8c4a,Dplus KIA,oe:team:2a247555001e6364757f171f158f997,Yuumi,2171,1,1,0,14,17,4,0,0,0,0,1,1,0,0,0.4698,0.5804,7228,199.7605,0.0787553,173.1184,185.4998,61,1.6859,5,0.1382,18,92,2.5426,9104,4400,121.6029,0.101965,8550,7,7,0,0.1935,2731,2727,2,2086,2582,1,645,145,1,1,0,0,0,0,1,3698,3449,3,3023,3220,6,675,229,-3,1,1,0,0,0,1
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,6,Red,top,Rascal,oe:player:9daf04bfd9c8815cc827414f59f45af,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Jax,2171,0,3,3,1,4,17,1,0,0,0,0,0,0,0,0.1105,0.5804,15602,431.193,0.208968,979.3736,844.947,12,0.3316,6,0.1658,5,33,0.912,14942,10238,282.948,0.298499,13125,295,275,20,8.1529,3198,4689,82,3146,5084,80,52,-395,2,0,0,0,0,0,0,4854,7413,129,5157,7711,130,-303,-298,-1,0,0,0,0,0,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Maokai,2171,0,0,5,3,4,17,0,0,0,0,0,0,0,0,0.1105,0.5804,16327,451.2298,0.218679,1011.1561,735.1175,11,0.304,10,0.2764,9,47,1.2989,9490,4786,132.2708,0.139534,9075,142,14,128,3.9245,3094,3517,64,3071,3214,52,23,303,12,0,0,0,1,0,0,4591,5222,93,4732,5680,88,-141,-458,5,0,0,0,1,1,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,8,Red,mid,FATE,oe:player:24cd6812f523cf30c3502344539be6f,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Viktor,2171,0,1,3,0,4,17,0,0,0,0,0,0,0,0,0.1105,0.5804,24749,683.9889,0.331481,477.7338,573.579,15,0.4146,5,0.1382,9,41,1.1331,12160,7456,206.0617,0.217384,11800,308,308,0,8.5122,3167,4995,87,3373,4869,88,-206,126,-1,0,0,1,0,1,0,5271,8023,150,5217,7774,141,54,249,9,0,0,1,0,1,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,9,Red,bot,deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Zeri,2171,0,0,3,1,4,17,0,0,0,0,0,0,0,0,0.1105,0.5804,14288,394.8779,0.191369,502.8835,560.6725,12,0.3316,12,0.3316,4,51,1.4095,14010,9306,257.1902,0.271324,13875,357,311,46,9.8664,3443,3651,98,3438,3221,89,5,430,9,0,0,0,0,1,0,5254,6009,142,5476,5811,139,-222,198,3,0,0,1,1,1,0
ESPORTSTMNT04_2661035,LCK,Spring,0,2023/1/18 9:13,2,13.01,10,Red,sup,BeryL,oe:player:dee54127bb56d2e2540ba71cc416f1c,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Lulu,2171,0,0,3,2,4,17,0,0,0,0,0,0,0,1,0.1105,0.5804,3696,102.1465,0.0495031,368.7609,238.5076,40,1.1055,17,0.4698,15,102,2.819,7217,2513,69.4519,0.0732593,6850,26,25,1,0.7186,2086,2582,1,2731,2727,2,-645,-145,-1,0,0,1,1,0,0,3023,3220,6,3698,3449,3,-675,-229,3,0,0,1,1,1,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,1,Blue,top,Zeus,oe:player:98dd15c330fb5abb4508347265a7f76,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Gnar,2162,1,4,3,9,18,12,1,0,0,0,0,0,0,1,0.4995,0.8326,22495,624.2831,0.246396,799.8705,740.8696,13,0.3608,12,0.333,7,43,1.1933,15915,11229,311.6281,0.242412,13988,330,302,28,9.1582,3302,4876,85,3727,4927,94,-425,-51,-9,0,0,1,1,0,0,5591,7989,143,5583,7824,148,8,165,-5,0,0,1,1,0,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,2,Blue,jng,Oner,oe:player:f8b68f268106124fc4bc1c946adc9b0,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Vi,2162,1,4,2,7,18,12,0,0,0,0,0,0,0,0,0.4995,0.8326,6717,186.4107,0.0735739,860.8696,1405.0324,15,0.4163,22,0.6105,14,71,1.9704,12292,7606,211.0823,0.164198,10500,169,38,131,4.6901,3598,3266,63,3446,3301,58,152,-35,5,2,0,0,0,4,2,5015,4996,90,5145,5592,94,-130,-596,-4,2,0,0,0,4,2
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Azir,2162,1,5,3,4,18,12,1,1,0,0,0,0,0,0,0.4995,0.8326,25143,697.7706,0.275401,520.6846,330.1665,22,0.6105,7,0.1943,9,46,1.2766,14648,9962,276.4662,0.21506,14335,297,273,24,8.2424,3437,4804,94,3495,4739,88,-58,65,6,0,0,0,1,1,0,5309,7776,153,5083,7409,137,226,367,16,0,0,0,1,1,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,4,Blue,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Lucian,2162,1,5,3,9,18,12,0,0,0,0,0,0,0,0,0.4995,0.8326,27852,772.951,0.305074,401.4894,183.1637,12,0.333,15,0.4163,3,37,1.0268,17225,12539,347.9833,0.270693,14475,352,332,20,9.7687,3361,3032,88,3903,3314,92,-542,-282,-4,0,2,2,2,1,0,5598,5481,152,5455,5582,139,143,-101,13,0,2,2,2,1,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Nami,2162,1,0,1,17,18,12,0,0,0,0,0,0,0,0,0.4995,0.8326,9089,252.2387,0.0995553,304.8289,123.6078,71,1.9704,16,0.444,23,116,3.2192,9672,4986,138.3719,0.107637,8475,26,22,4,0.7216,2219,2847,4,2256,2690,0,-37,157,4,0,2,1,0,3,0,3745,4160,11,3087,3347,2,658,813,9,0,2,1,0,3,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,6,Red,top,Doran,oe:player:a1f3b2bb3f36e5113237f92d76dc4c8,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,K'Sante,2162,0,2,4,3,12,18,0,0,0,0,1,1,0,0,0.333,0.8326,8622,239.2784,0.117053,972.6827,1858.3626,14,0.3885,9,0.2498,9,45,1.2488,12129,7443,206.5587,0.202195,11475,268,264,4,7.4376,3727,4927,94,3302,4876,85,425,51,9,1,0,0,0,0,1,5583,7824,148,5591,7989,143,-8,-165,5,1,0,0,0,0,1
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,7,Red,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Elise,2162,0,1,6,9,12,18,0,0,0,0,1,0,1,0,0.333,0.8326,20773,576.494,0.282016,1034.0703,613.543,37,1.0268,17,0.4718,15,79,2.1924,11372,6686,185.5504,0.18163,10125,190,30,160,5.2729,3446,3301,58,3598,3266,63,-152,35,-5,0,4,2,2,0,0,5145,5592,94,5015,4996,90,130,596,4,0,4,2,2,0,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,8,Red,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Taliyah,2162,0,2,2,7,12,18,0,0,0,0,0,0,0,0,0.333,0.8326,26390,732.3774,0.358273,474.6994,377.1508,16,0.444,9,0.2498,6,48,1.3321,13293,8607,238.8622,0.233816,12200,310,306,4,8.6031,3495,4739,88,3437,4804,94,58,-65,-6,1,1,0,0,0,0,5083,7409,137,5309,7776,153,-226,-367,-16,1,1,0,0,0,0
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,9,Red,bot,Peyz,oe:player:5bbc2b92348d930ebd500cb9ce71bb7,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Zeri,2162,0,7,3,3,12,18,1,0,0,0,0,0,0,0,0.333,0.8326,14395,399.4912,0.195428,484.1351,632.4699,18,0.4995,17,0.4718,7,61,1.6929,15916,11230,311.6559,0.305073,16025,360,321,39,9.9907,3903,3314,92,3361,3032,88,542,282,4,2,1,0,0,2,2,5455,5582,139,5598,5481,152,-143,101,-13,2,1,0,0,2,2
ESPORTSTMNT04_2660040,LCK,Spring,0,2023/1/18 11:00,1,13.01,10,Red,sup,Delight,oe:player:051ca2e31ba25123961b3df95fdef4c,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Lulu,2162,0,0,3,11,12,18,0,0,0,0,0,0,0,0,0.333,0.8326,3479,96.5495,0.0472312,294.7549,174.9769,66,1.8316,8,0.222,19,110,3.0527,7531,2845,78.9547,0.0772853,7525,10,10,0,0.2775,2256,2690,0,2219,2847,4,37,-157,-4,0,3,0,0,2,1,3087,3347,2,3745,4160,11,-658,-813,-9,0,3,0,0,2,1
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,1,Blue,top,Zeus,oe:player:98dd15c330fb5abb4508347265a7f76,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Fiora,1939,1,5,2,7,24,6,1,0,0,0,0,0,0,0,0.7427,0.9283,14880,460.4435,0.176295,770.067,792.0681,12,0.3713,7,0.2166,7,34,1.0521,13457,9226,285.4874,0.210933,13075,251,247,4,7.7669,3050,4772,76,3531,5058,92,-481,-286,-16,0,0,0,0,0,0,4884,7915,135,5366,7859,148,-482,56,-13,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,2,Blue,jng,Oner,oe:player:f8b68f268106124fc4bc1c946adc9b0,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Wukong,1939,1,4,3,12,24,6,2,0,0,0,1,0,1,0,0.7427,0.9283,11132,344.4662,0.131889,1056.1114,902.5993,11,0.3404,17,0.526,9,61,1.8876,11685,7454,230.655,0.170419,9925,180,41,139,5.5699,3000,3216,67,3297,3728,68,-297,-512,-1,0,0,0,0,0,0,4457,5303,100,4982,5787,106,-525,-484,-6,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Lissandra,1939,1,6,1,14,24,6,0,0,0,0,1,1,0,0,0.7427,0.9283,18764,580.6292,0.222312,791.9134,546.9005,8,0.2476,7,0.2166,3,26,0.8045,13700,9469,293.0067,0.216489,12425,261,253,8,8.0763,3195,4837,88,3234,4842,93,-39,-5,-5,0,0,0,0,0,0,5096,8067,155,5230,7869,156,-134,198,-1,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,4,Blue,bot,Gumayusi,oe:player:c7319736816efe935787b4381c6f321,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Lucian,1939,1,7,0,13,24,6,2,0,0,0,0,0,0,0,0.7427,0.9283,31664,979.804,0.375148,440.5467,257.5761,16,0.4951,19,0.5879,6,48,1.4853,17100,12869,398.2156,0.294224,15300,326,318,8,10.0877,3540,3350,95,3358,3045,85,182,305,10,0,0,0,0,0,0,5514,5550,154,5272,5770,148,242,-220,6,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,5,Blue,sup,Keria,oe:player:db79ce6ad35451c938fbe2995dabd37,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Nami,1939,1,2,0,19,24,6,0,0,0,0,0,0,0,0,0.7427,0.9283,7964,246.4363,0.0943557,362.0732,184.1465,44,1.3615,10,0.3094,14,72,2.228,8952,4721,146.0856,0.107934,8300,18,18,0,0.557,2265,2829,7,2141,2583,4,124,246,3,0,0,0,0,0,0,3092,4128,9,2978,3785,8,114,343,1,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,6,Red,top,Doran,oe:player:a1f3b2bb3f36e5113237f92d76dc4c8,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Jayce,1939,0,2,6,3,6,24,0,0,0,0,0,0,0,1,0.1857,0.9283,21164,654.8943,0.327429,669.2831,616.5549,16,0.4951,6,0.1857,7,35,1.083,11938,7707,238.4838,0.246523,10675,288,262,26,8.9118,3531,5058,92,3050,4772,76,481,286,16,0,0,0,0,0,0,5366,7859,148,4884,7915,135,482,-56,13,0,0,0,0,0,0
ESPORTSTMNT04_2661049,LCK,Spring,0,2023/1/18 11:59,2,13.01,7,Red,jng,Peanut,oe:player:dda4a873265dfd06df50a0d8a294908,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Vi,1939,0,2,4,2,6,24,0,0,0,0,0,0,0,0,0.1857,0.9283,8318,257.3904,0.128688,802.558,1604.9304,30,0.9283,10,0.3094,12,57,1.7638,11158,6927,214.3476,0.221572,9850,193,23,170,5.9722,3297,3728,68,3000,3216,67,297,512,1,0,0,0,0,0,0,4982,5787,106,4457,5303,100,525,484,6,0,0,0,0,0,0
