gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,4,Blue,bot,deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Aphelios,1939,1,2,0,5,8,5,0,0,0,0,1,1,0,0,0.2476,0.4023,0,0,13492,417.4936,0.228291,351.0263,289.9123,12,0.3713,13,0.4023,7,35,1.083,14901,10670,330.1702,0.297831,13875,312,272,40,9.6545,4109,3579,87,3042,3485,78,1067,94,9,1,0,0,0,0,0,6772,5882,132,4767,5562,124,2005,320,8,1,1,0,0,0
ESPORTSTMNT01/1690820,complete,LCK,2021,0,2021/1/14 7:35,1,11.01,9,Red,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Miss Fortune,1939,0,0,1,2,5,8,0,0,0,0,0,0,0,0,0.1547,0.4023,0,0,8955,277.1016,0.221719,346.8179,149.5204,14,0.4332,9,0.2785,7,46,1.4234,10319,6088,188.3858,0.218099,10050,254,249,5,7.8597,3042,3485,78,4109,3579,87,-1067,-94,-9,0,0,0,1,0,0,4767,5562,124,6772,5882,132,-2005,-320,-8,0,0,0,1,1
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,4,Blue,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Samira,1585,1,11,0,11,28,6,3,0,0,0,0,0,0,0,1.0599,1.2871,0,0,18291,692.4038,0.240776,600.6814,435.8233,16,0.6057,4,0.1514,8,33,1.2492,14138,10629,402.3596,0.285687,12800,244,228,16,9.2366,3387,3180,78,3070,2775,77,317,405,1,1,0,0,0,0,1,6961,6316,132,4738,4328,105,2223,1988,27,5,3,0,1,1
ESPORTSTMNT01/1690828,complete,LCK,2021,0,2021/1/14 8:45,2,11.01,9,Red,bot,deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Jhin,1585,0,2,5,1,6,28,0,0,0,0,0,0,0,0,0.2271,1.2871,0,0,8999,340.6562,0.178704,488.7066,229.0599,9,0.3407,8,0.3028,3,29,1.0978,8135,4626,175.1167,0.191481,8075,179,175,4,6.776,3070,2775,77,3387,3180,78,-317,-405,-1,0,0,1,1,0,0,4738,4328,105,6961,6316,132,-2223,-1988,-27,1,1,3,5,3
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,4,Blue,bot,deokdam,oe:player:18bdb3898e7fecb3bb0be7ff075d509,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Ezreal,1838,1,5,0,2,10,8,2,1,0,0,0,0,0,0,0.3264,0.555,1,0,14820,483.7867,0.312737,397.0185,279.63,17,0.555,12,0.3917,9,45,1.469,14991,10966,357.9761,0.322873,13975,320,302,18,10.4461,3364,3445,96,3394,3594,92,-30,-149,4,0,0,0,0,0,0,5497,5749,151,5748,5973,142,-251,-224,9,0,0,0,0,2
ESPORTSTMNT01/1690841,complete,LCK,2021,0,2021/1/14 9:37,3,11.01,9,Red,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Jhin,1838,0,2,2,3,7,10,0,0,0,0,0,0,0,0,0.2285,0.555,0,1,13742,448.5963,0.223135,323.4712,140.4679,12,0.3917,5,0.1632,5,28,0.914,11285,7260,236.9967,0.235945,11385,243,237,6,7.9325,3394,3594,92,3364,3445,96,30,149,-4,0,0,0,0,0,0,5748,5973,142,5497,5749,151,251,224,-9,0,2,0,0,0
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,4,Blue,bot,BAO,oe:player:6c1d0c529e73fe4c8b9a5306867c4bf,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Aphelios,2162,1,1,1,6,13,8,0,0,0,0,0,0,0,0,0.3608,0.5828,2,0,12296,341.2396,0.197825,371.6836,296.8918,14,0.3885,18,0.4995,4,50,1.3876,15332,10646,295.4487,0.231687,14050,373,320,53,10.3515,3365,3438,93,3213,3322,87,152,116,6,0,0,0,0,0,0,5413,5654,147,5119,6236,145,294,-582,2,0,0,0,0,0
ESPORTSTMNT03/1681444,complete,LCK,2021,0,2021/1/14 11:19,1,11.01,9,Red,bot,Bang,oe:player:526e67744f0b90739ec17c191c62d24,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Jhin,2162,0,1,1,1,8,13,0,0,0,0,0,0,0,0,0.222,0.5828,0,2,12179,337.9926,0.250793,262.3404,138.1221,25,0.6938,14,0.3885,12,66,1.8316,14451,9765,270.9991,0.252183,14450,367,355,12,10.185,3213,3322,87,3365,3438,93,-152,-116,-6,0,0,0,0,0,0,5119,6236,145,5413,5654,147,-294,582,-2,0,0,0,0,0
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,4,Blue,bot,Bang,oe:player:526e67744f0b90739ec17c191c62d24,Kwangdong Freecs,oe:team:0b65555ba9e97910fc1e7264a99fa24,Samira,1797,1,6,1,10,19,2,2,1,0,0,1,0,1,0,0.6344,0.7012,1,0,16064,536.3606,0.271498,600.0668,374.9249,19,0.6344,15,0.5008,9,46,1.5359,13431,9490,316.8614,0.247493,11825,249,227,22,8.3139,3310,3183,86,3057,3181,72,253,2,14,0,0,0,0,0,0,5536,5343,132,4562,5086,114,974,257,18,0,4,0,0,0
ESPORTSTMNT03/1681477,complete,LCK,2021,0,2021/1/14 12:33,2,11.01,9,Red,bot,BAO,oe:player:6c1d0c529e73fe4c8b9a5306867c4bf,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,Vayne,1797,0,1,3,0,2,19,0,0,0,0,0,0,0,0,0.0668,0.7012,0,1,10860,362.6043,0.194791,512.621,256.1269,13,0.4341,6,0.2003,4,24,0.8013,10624,6683,223.1386,0.277829,10725,235,228,7,7.8464,3057,3181,72,3310,3183,86,-253,-2,-14,0,0,0,0,0,0,4562,5086,114,5536,5343,132,-974,-257,-18,0,0,0,0,4
