"","result","teamkills","teamdeaths","team.kpm","dragons","firstbaron","barons","towers","dpm","damagetakenperminute","visionscore","vspm","totalgold","earned.gpm","minionkills","monsterkills","cspm","goldat15"
"1175",1,0.411764705882353,0.147058823529412,0.375255206206615,0.666666666666667,1,0.25,0.818181818181818,0.429441737944732,0.290743074674861,0.253477588871716,0.459863852339181,0.328988945750125,0.55957990546163,0.338830584707646,0.325167037861915,0.447982994300767,0.32018580392796
"1176",0,0.147058823529412,0.411764705882353,0.13401388321764,0,0,0,0.181818181818182,0.203027376731628,0.392777509157156,0.200927357032458,0.332396747076023,0.212190528880425,0.192841745887139,0.284107946026987,0.180400890868597,0.228656927449774,0.14701328335099
"1177",0,0.176470588235294,0.441176470588235,0.167986933442221,0,0,0,0.272727272727273,0.20387675884471,0.457590267649298,0.176197836166924,0.305338541666667,0.231234905469673,0.323091286431638,0.293103448275862,0.253897550111359,0.370164488497426,0.442832694971885
"1178",1,0.441176470588235,0.176470588235294,0.420008166598612,0.666666666666667,1,0.25,1,0.491134012185414,0.330789620650582,0.230293663060278,0.442399945175439,0.361726122713877,0.751086108327175,0.315592203898051,0.334075723830735,0.479733099617953,0.478363621546736
"1179",0,0.147058823529412,0.323529411764706,0.144548795426705,0,0,0,0.272727272727273,0.0999249351076637,0.411577097699134,0.117465224111283,0.176729258040936,0.238905852688023,0.402556401553269,0.308095952023988,0.209354120267261,0.423389615483321,0.423355879716405
"1180",1,0.323529411764706,0.147058823529412,0.318007349938751,0.666666666666667,1,0.25,0.909090909090909,0.376191226610264,0.185947993091639,0.239567233384853,0.496139437134503,0.327233458522625,0.701660329741318,0.354572713643178,0.334075723830735,0.62564219272803,0.360850786406976
"1181",0,0.117647058823529,0.5,0.094569211923234,0,0,0,0.272727272727273,0.41597561954851,0.367628230699277,0.326120556414219,0.505802266081871,0.300933068059708,0.259008223431605,0.379310344827586,0.289532293986637,0.298185639093739,0.262407301768397
"1182",1,0.5,0.117647058823529,0.401796651694569,0.833333333333333,1,0.25,0.818181818181818,0.373880605318961,0.504074575772641,0.343122102009274,0.542169225146199,0.419327382408954,0.586821746532417,0.38455772113943,0.320712694877506,0.327621187396801,0.38880286855187
"1183",0,0.382352941176471,0.588235294117647,0.241649652919559,0.166666666666667,1,0.75,0.454545454545455,0.409106550344153,0.471530352978855,0.480680061823802,0.558193987573099,0.536264110393548,0.433058119734149,0.441529235382309,0.489977728285078,0.153908357100315,0.316600114090131
"1184",1,0.588235294117647,0.382352941176471,0.371743568803593,0.833333333333333,0,0,0.818181818181818,0.461186277921148,0.408203948259409,0.451313755795981,0.508806195175439,0.549850517602749,0.462641893812625,0.501499250374813,0.380846325167038,0.188074704990824,0.295737918670035
"1185",1,0.264705882352941,0.117647058823529,0.205144957125357,0.666666666666667,1,0.25,0.727272727272727,0.284478468916789,0.150021081119295,0.332302936630603,0.483746801900585,0.391569405581385,0.444218076811942,0.426536731634183,0.467706013363029,0.435257772892567,0.224268600766034
"1186",0,0.117647058823529,0.264705882352941,0.0911392405063291,0.333333333333333,0,0,0.454545454545455,0.144378027519584,0.294899930694933,0.372488408037094,0.566623263888889,0.347522635145918,0.326627900432123,0.482008995502249,0.314031180400891,0.442012599325002,0.305354086871486
