"","wardsplaced","wpm","wardskilled","wcpm","controlwardsbought","visionscore","vspm","assistsat15","assists","cluster"
"547",-0.388843773526121,-0.258173515887021,-0.465252008963757,-0.380414659062183,-0.85295211800648,-0.503401973925361,-0.399888035143012,-0.96060424961469,-0.0861242771388281,2
"548",-0.477409973393277,-0.381872432251771,-0.465252008963757,-0.380414659062183,-0.331855506010282,-0.535524954762153,-0.447776861077516,-0.96060424961469,-1.38959766280109,2
"549",-0.123145173924652,-0.0524568397586867,-0.0320615938293357,0.0249008013821245,0.015542235320516,-0.439156012251778,-0.497599086816829,-0.96060424961469,0.565612415692304,2
"550",-0.388843773526121,-0.405113998835831,0.112335211215472,0.188957059181011,-0.331855506010282,0.042688700300094,0.185039767342721,-0.96060424961469,0.782857979969347,2
"551",-0.920240972729058,-1.23624010304433,-0.465252008963757,-0.568060705564177,-0.505554376675681,-0.824631782293276,-1.23318335101577,-0.29957270498246,0.131121287138216,3
"552",-0.0345789740574958,-0.132937967020845,0.112335211215472,0.0479544585237982,0.536638847316713,0.0748116811368855,-0.0371524871484271,1.68352192891423,2.08633136563161,2
"553",-0.388843773526121,-0.29524477498391,-1.04283922914299,-1.08435539922538,-0.158156635344883,-0.342787069741404,-0.210861023457437,1.68352192891423,2.08633136563161,3
"554",-0.0345789740574958,0.193596439532066,-0.0320615938293357,0.109609588088739,0.189241105985915,-0.278541108067821,-0.116273156083695,-0.29957270498246,-0.955106534247004,2
"555",-0.87595787279548,-0.702068229736301,-0.898442424098179,-0.769646172663462,-1.20034985933728,-1.04949264815082,-0.903613045826758,-0.29957270498246,-0.955106534247004,3
"556",-0.743108572994746,-0.496543632670646,-0.898442424098179,-0.769646172663462,-0.85295211800648,-0.664016878109319,-0.267375786982628,1.022490384282,1.43459467280048,3
"557",1.24963092401627,0.917542426766137,0.256732016260279,-0.0721390112374782,1.57883207130911,0.942132163730256,0.493193951616923,0.361458839649769,-0.0861242771388281,1
"558",-1.54020437179915,-2.14611862295088,0.256732016260279,-0.0721390112374782,-1.54774760066808,-1.30647649484515,-2.14232742846181,-0.96060424961469,-1.17235209852405,3
"559",-1.98303537113493,-2.27634822744669,-1.62042644932222,-1.65587164371431,-1.37404873000268,-2.46290380496964,-3.0718465653893,-0.29957270498246,-1.38959766280109,3
"560",-0.964524072662637,-0.413565477593671,-0.754045619053372,-0.299458793285608,-1.02665098867188,-0.921000724803651,-0.0618405154252212,0.361458839649769,0.34836685141526,3
"561",-0.521693073326855,-0.230898288986719,0.545525626349893,1.0585624518274,0.015542235320516,-0.117926203883863,0.512379226603106,-0.96060424961469,-0.955106534247004,2
"562",0.142553425676817,0.770025706629293,0.112335211215472,0.499913364812887,0.710337717982113,-0.567647935598944,-0.211009746519345,-0.29957270498246,0.782857979969347,2
"563",-0.211711373791808,0.0481925890846812,-0.609648814008565,-0.524097917526567,-0.158156635344883,-0.535524954762153,-0.379066806475835,-0.29957270498246,0.131121287138216,2
"564",-0.477409973393277,-0.330203164391339,0.256732016260279,0.531545126937509,0.362939976651314,-0.182172165557446,0.157823447013484,-0.96060424961469,-1.17235209852405,2
